player_id,First Pitch Total,First Pitch In-Play #,First Pitch Ball #,First Pitch Called Strike #,First Pitch Swinging Strike #,First Pitch Foul #,First Pitch Hit #,First Pitch xBA,First Pitch In-Play %,First Pitch Ball %,First Pitch Strike %,key_mlbam,player_name,Team
640462,35,3,13,10,2,5,1,0.147,0.086,0.371,0.486,640462.0,a. j. puk,MIA
640902,20,3,10,5,0,1,2,0.525,0.15,0.5,0.3,640902.0,jhonny pereda,LAD
641154,247,21,91,74,20,32,8,0.413,0.085,0.368,0.51,641154.0,pablo lópez,ATH
641302,230,30,76,77,8,31,8,0.333,0.13,0.33,0.504,641302.0,tyler alexander,CWS
641312,50,5,15,18,3,8,3,0.519,0.1,0.3,0.58,641312.0,shaun anderson,LAA
641329,141,19,53,35,16,15,9,0.388,0.135,0.376,0.468,641329.0,bryan baker,TEX
641343,28,4,16,6,0,2,1,0.494,0.143,0.571,0.286,641343.0,jake bauers,MIN
641401,92,15,31,28,9,6,5,0.331,0.163,0.337,0.467,641401.0,connor brogdon,LAA
641482,38,7,16,11,2,2,3,0.481,0.184,0.421,0.395,641482.0,néstor cortés,MIL
641540,24,2,12,5,2,3,1,0.45,0.083,0.5,0.417,641540.0,dane dunning,BAL
641656,124,17,45,29,12,18,4,0.371,0.137,0.363,0.476,641656.0,ian hamilton,NYY
641658,3,3,0,0,0,0,0,0.157,1.0,0.0,0.0,641658.0,garrett hampson,STL
641745,150,18,51,51,8,17,9,0.323,0.12,0.34,0.507,641745.0,brad keller,HOU
641755,165,8,60,50,24,13,3,0.344,0.048,0.364,0.527,641755.0,tyler kinley,MIL
641778,181,16,59,58,18,24,2,0.223,0.088,0.326,0.552,641778.0,eric lauer,BOS
641793,416,61,141,135,19,53,18,0.282,0.147,0.339,0.498,641793.0,zack littell,BAL
641816,309,37,109,92,23,40,9,0.308,0.12,0.353,0.502,641816.0,tyler mahle,MIN
641835,40,4,10,16,3,5,2,0.417,0.1,0.25,0.6,641835.0,tim mayza,PIT
641927,409,55,130,119,41,52,22,0.351,0.134,0.318,0.518,641927.0,bailey ober,DET
641941,137,20,44,36,17,17,6,0.276,0.146,0.321,0.511,641941.0,emilio pagán,CIN
642016,9,0,3,3,1,2,0,,0.0,0.333,0.667,642016.0,daniel robert,ATL
642048,22,2,13,4,2,0,1,0.51,0.091,0.591,0.273,642048.0,tayler saucedo,SEA
642100,128,16,33,40,11,26,6,0.345,0.125,0.258,0.602,642100.0,gabe speier,SEA
642121,57,3,27,13,3,7,0,0.099,0.053,0.474,0.404,642121.0,cole sulser,TB
642152,139,10,65,40,10,12,5,0.472,0.072,0.468,0.446,642152.0,lou trivino,KC
642180,6,2,3,1,0,0,1,0.462,0.333,0.5,0.167,642180.0,tyler wade,TOR
642207,129,10,53,34,17,9,3,0.413,0.078,0.411,0.465,642207.0,devin williams,NYY
642215,12,2,4,5,0,1,0,0.253,0.167,0.333,0.5,642215.0,weston wilson,TOR
642216,30,4,10,10,2,4,1,0.124,0.133,0.333,0.533,642216.0,allan winans,NYY
642232,226,30,66,79,28,20,11,0.402,0.133,0.292,0.562,642232.0,ryan yarbrough,NYY
642239,52,4,15,13,6,11,1,0.372,0.077,0.288,0.577,642239.0,rob zastryzny,MIL
642397,126,9,47,44,9,14,2,0.341,0.071,0.373,0.532,642397.0,gregory soto,BAL
642520,41,7,9,18,4,2,1,0.235,0.171,0.22,0.585,642520.0,gerson garabito,CHC
642528,80,8,27,21,12,11,3,0.301,0.1,0.338,0.55,642528.0,jonathan loáisiga,TOR
642547,385,36,148,115,29,48,9,0.323,0.094,0.384,0.499,642547.0,freddy peralta,MIL
642585,121,9,58,28,7,13,2,0.276,0.074,0.479,0.397,642585.0,félix bautista,TEX
642701,136,16,38,54,11,13,3,0.296,0.118,0.279,0.574,642701.0,dennis santana,PIT
642708,10,1,6,1,0,1,1,0.869,0.1,0.6,0.2,642708.0,amed rosario,WSH
643338,146,24,50,34,13,21,7,0.343,0.164,0.342,0.466,643338.0,chad green,TOR
643361,10,1,5,2,0,2,1,0.557,0.1,0.5,0.4,643361.0,kevin herget,NYM
643377,149,16,39,48,25,14,7,0.485,0.107,0.262,0.584,643377.0,griffin jax,DET
643410,149,12,53,48,9,19,5,0.445,0.081,0.356,0.51,643410.0,mark leiter,TOR
643511,147,25,33,58,8,23,5,0.34,0.17,0.224,0.605,643511.0,tyler rogers,AZ
645261,360,42,134,103,23,44,16,0.354,0.117,0.372,0.472,645261.0,sandy alcántara,AZ
645444,5,1,3,1,0,0,0,0.001,0.2,0.6,0.2,645444.0,josé herrera,CIN
646242,5,0,2,2,0,1,0,,0.0,0.4,0.6,646242.0,jhonathan díaz,SEA
647315,30,9,8,11,1,0,3,0.324,0.3,0.267,0.4,647315.0,zach pop,MIN
647336,246,30,98,76,13,22,10,0.34,0.122,0.398,0.451,647336.0,michael soroka,LAA
647351,8,4,2,1,1,0,2,0.376,0.5,0.25,0.25,647351.0,abraham toro,BOS
650489,4,0,4,0,0,0,0,,0.0,1.0,0.0,650489.0,willi castro,CWS
650556,158,18,66,38,14,17,5,0.382,0.114,0.418,0.437,650556.0,bryan abreu,HOU
650633,226,19,89,68,17,31,5,0.305,0.084,0.394,0.513,650633.0,mike king,SD
650644,168,22,61,57,8,19,8,0.321,0.131,0.363,0.5,650644.0,aaron civale,CWS
650893,80,9,36,23,3,7,3,0.325,0.112,0.45,0.412,650893.0,génesis cabrera,PIT
650911,388,45,137,115,29,49,16,0.284,0.116,0.353,0.497,650911.0,cristopher sánchez,HOU
655889,121,15,47,34,6,12,3,0.299,0.124,0.388,0.43,655889.0,manuel rodríguez,BOS
656186,57,10,17,16,5,8,3,0.312,0.175,0.298,0.509,656186.0,dan altavilla,CWS
656222,158,25,50,35,15,27,8,0.296,0.158,0.316,0.487,656222.0,jalen beeks,AZ
656234,195,14,73,77,16,9,5,0.314,0.072,0.374,0.523,656234.0,jake bird,MIL
656240,178,20,60,48,19,24,6,0.272,0.112,0.337,0.511,656240.0,scott blewett,BAL
